"","Family","ID","Sex","Treatment","Size","Eclosion","Censored","Lifespan","Activity","Block","Assay","Trial","Chamber","StartTime","Session","age_at_flight","total_distance","total_duration","total_avg_speed","total_peak_speed","marathon_flights","long_flights","medium_flights","short_flights","skip_flights","trial_length"
"1","xBF","xBF8","F","A","4.263333333","02/06/2022",0,10,"Flight","G",1,"12/06/2022","C","09:20","54",10,11839.52,13092.92934,0.904268227,"1.584537812",1,0,1,4,8,14399.97932
"2","xF","xF5","F","A","4.166666667","28/02/2022",1,177,"Waiting","B",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","xI","xI12","M","B","5.44","06/03/2022",1,171,"Flight","C",1,"17/03/2022","C","09:11","16",11,512.16,857.1920519,0.597485708,"1.268437257",0,0,1,0,1,14394.37635
"4","xBK","xBK8","F","B","4.306666667","03/06/2022",1,170,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","xD","xD10","F","A","4.21","28/02/2022",1,169,"Waiting","B",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","xM","xM14","M","B","5.43","06/03/2022",1,160,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","xE","xE5","M","B","5.733333333","28/02/2022",1,159,"Flight","B",1,"16/03/2022","E","10:11","15",16,237.6,387.3842468,0.613344507,"1.676136128",0,0,0,2,6,14399.99573
"8","xG","xG3","F","B","4.936666667","28/02/2022",1,159,"Flight","B",1,"13/03/2022","B","14:09","13",13,1307.68,1927.158274,0.678553504,"1.369858382",0,0,0,12,4,14399.98794
"9","xT","xT10","F","A","3.896666667","09/03/2022",1,157,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","xG","xG6","F","A","3.906666667","28/02/2022",1,155,"Flight","B",1,"20/03/2022","B","12:56","23",20,3282.4,10775.61632,0.304613667,"1.544813565",0,0,2,37,32,14399.98775
"11","xF","xF10","F","B","4.92","28/02/2022",1,155,"Waiting","B",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","xB","xB3","M","B","5.506666667","28/02/2022",1,153,"Flight","B",1,"17/03/2022","F","14:48","17",17,7139.44,13193.14177,0.541147827,"1.725006377",0,0,7,7,15,14399.99762
"13","xG","xG7","M","B","5.4","02/03/2022",1,153,"Flight","C",1,"15/03/2022","D","14:00","14",13,174.24,468.65219,0.371789578,"1.22197777",0,0,0,2,6,14399.98205
"14","xE","xE11","M","A","4.223333333","28/02/2022",1,153,"Flight","B",1,"13/03/2022","G","14:09","13",13,321.2,983.6934676,0.326524482,"0.8687479",0,0,0,4,4,14399.98794
"15","xM","xM10","F","B","5.57","06/03/2022",1,149,"Flight","C",1,"26/03/2022","F","13:36","34",20,1984.4,2541.702058,0.78073667,"2.07370616",0,0,1,4,4,14399.98624
"16","xO","xO2","F","A","4.023333333","06/03/2022",1,149,"Flight","C",1,"24/03/2022","C","09:15","29",18,2825.68,8431.845119,0.335120008,"2.059871831",0,0,5,17,21,14398.99197
"17","xF","xF4","F","A","4.096666667","28/02/2022",1,149,"Flight","B",1,"19/03/2022","G","13:50","21",19,630.96,1063.835945,0.593098967,"1.264545672",0,0,0,3,1,14399.97884
"18","xE","xE14","F","A","4.683333333","28/02/2022",1,146,"Flight","B",1,"15/03/2022","C","14:00","14",15,4547.84,10578.5648,0.42991087,"1.362130259",0,0,3,32,41,14399.98205
"19","xAK","xAK12","F","B","5.34","27/03/2022",1,146,"Waiting","F",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","xQ","xQ3","M","B","5.586666667","09/03/2022",1,144,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","xK","xK16","F","B","5.29","06/03/2022",1,143,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","xAH","xAH14","M","B","5.296666667","27/03/2022",1,142,"Flight","F",1,"08/04/2022","B","09:40","51",12,13009.92,14025.70355,0.927576999,"1.847055445",1,0,2,2,2,14399.98694
"23","xB","xB4","F","B","5.62","28/02/2022",1,142,"Flight","B",1,"17/03/2022","G","14:48","17",17,0,0,NA,"#NAME?",0,0,0,0,0,14399.99762
"24","xG","xG4","F","B","5.07","28/02/2022",1,142,"Flight","B",1,"13/03/2022","F","14:09","13",13,0,0,NA,"#NAME?",0,0,0,0,0,14399.98794
"25","xB","xB10","M","A","5.11","28/02/2022",1,142,"Flight","B",1,"13/03/2022","D","09:48","12",13,0,0,NA,"#NAME?",0,0,0,0,0,13955.3858
"26","xAI","xAI5","F","A","4.05","25/03/2022",1,141,"Flight","F",1,"07/04/2022","E","09:43","50",13,2386.56,4081.394803,0.584741275,"1.5000502",0,0,0,24,30,14399.99207
"27","xJ","xJ2","M","A","4.456666667","06/03/2022",1,140,"Flight","C",1,"25/03/2022","G","14:44","32",19,1707.2,3469.226677,0.492098141,"1.664591754",0,0,1,8,10,14399.99956
"28","xM","xM13","M","B","5.243333333","06/03/2022",1,140,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","xB","xB5","M","B","5.726666667","28/02/2022",1,139,"Flight","B",1,"17/03/2022","A","09:11","16",17,12162.48,13751.04628,0.884476697,"1.915409064",1,0,3,1,1,14394.37635
"30","xG","xG2","M","B","5.086666667","28/02/2022",1,139,"Flight","B",1,"13/03/2022","C","14:09","13",13,986.48,2984.559224,0.330527869,"1.332352272",0,0,0,10,8,14399.98794
"31","xA","xA12","M","A","5.196666667","28/02/2022",1,139,"Waiting","B",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","xBA","xBA4","M","A","4.296666667","02/06/2022",1,138,"Flight","G",1,"20/06/2022","A","10:00","63",18,4817.12,6007.475848,0.801854243,"1.774357974",0,1,0,12,5,14399.2411
"33","xBK","xBK14","M","A","5.16","02/06/2022",1,138,"Flight","G",1,"19/06/2022","E","14:45","62",17,4143.92,6688.022248,0.619603202,"2.091503752",0,0,2,19,28,14399.99936
"34","xR","xR1","F","B","5.106666667","09/03/2022",1,137,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","xN","xN2","F","B","5.42","06/03/2022",1,136,"Flight","C",1,"24/03/2022","A","14:16","30",18,2361.04,5880.044661,0.401534365,"1.72738712",0,0,2,20,21,14399.99717
"36","xN","xN14","M","A","4.596666667","06/03/2022",1,136,"Flight","C",1,"24/03/2022","G","14:16","30",18,1011.12,1601.228519,0.631465146,"1.529120933",0,0,1,1,2,14399.99717
"37","xJ","xJ4","M","A","4.463333333","06/03/2022",1,136,"Flight","C",1,"22/03/2022","E","13:25","26",16,180.4,427.103775,0.422379783,"0.992789681",0,0,0,1,6,14399.99677
"38","xK","xK2","M","A","4.573333333","06/03/2022",1,136,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","xAK","xAK14","F","B","5.386666667","27/03/2022",1,135,"Flight","F",1,"06/04/2022","A","09:40","49",10,13079.44,12169.52893,1.074769621,"2.294642492",1,0,0,5,23,13246.21065
"40","xAJ","xAJ10","F","B","5.386666667","27/03/2022",1,135,"Flight","F",1,"05/04/2022","D","11:55","46b",9,90.64,118.2912107,0.766244588,"1.925870947",0,0,0,0,7,14399.99504
"41","xD","xD7","M","B","5.656666667","28/02/2022",1,135,"Flight","B",1,"19/03/2022","E","13:50","21",19,41.36,53.94480801,0.76670956,"1.596704799",0,0,0,0,2,14399.97884
"42","xD","xD2","F","B","5.036666667","28/02/2022",1,135,"Waiting","B",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","xC","xC2","F","A","4.693333333","28/02/2022",1,135,"Flight","B",1,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","xM","xM3","F","A","4.06","06/03/2022",1,133,"Flight","C",1,"24/03/2022","E","09:15","29",18,493.68,1704.63061,0.289611132,"1.11455715",0,0,0,11,25,14398.99197
